29	28	
1000000	42.35	35.19
1000001	44.27	32.15
1000002	42.07	30.03
1000003	28.43	26.99
1000004	33.04	27.17
1000005	34.33	21.18
1000006	36.91	22.66
1000007	38.11	19.86
1000008	28.61	22.66
1000009	30.46	19.89
1000010	22.16	26.53
1000011	23.45	23.67
1000012	24.37	26.34
1000013	20.61	11.26
1000014	25.99	14.93
1010000	38.11	29.48
1010001	38.84	23.76
1010002	30.36	24.41
1010003	20.41	21.27
1010004	24.74	30.87
1030000	34.79	24.04
1030001	20.69	25.97
1100000	42.91	32.59
1100002	36.63	20.54
1100003	28.81	21.27
1100004	23.54	25.07
1110001	30.46	29.17
1110005	22.71	14.08
2000000	50	50
1000000	1100000	10
1000001	1100000	10
1000002	1100000	10
1000003	1110001	10
1000004	1110001	10
1000005	1100002	10
1000006	1100002	10
1000007	1100002	10
1000008	1100003	10
1000009 1100003 10
1000010	1100004	10
1000011	1100004	10
1000012	1100004	10
1000013	1110005	10
1000014	1110005	10
1100000	1110001	100
1110001	1100002	100
1100000	1100002	100
1100002	1100003	100
1110001	1100003	100
1100003	1100004	100
1110001	1100004	100
1110001	1110005	500
1030000	1110001	500
1030000	1110005	500
1030001	1110001	500
1030001	1110005	500
1110001	2000000	1000
1110005	2000000	1000
